Licor unixtime,LiCor time (Sec),LiCor conc (ppm),SCD unixtime,SCD time (sec),SCD 1 (ppm),SCD 2 (ppm),SCD 3 (ppm),SCD 4 (ppm)
1635306621,345,452,1635307311,1035,475,457,467,472
1635306622,346,452,1635307314,1038,472,453,469,471
1635306623,347,454,1635307317,1041,470,451,469,467
1635306624,348,454,1635307320,1044,470,450,470,465
1635306625,349,452,1635307323,1047,470,448,470,464
1635306626,350,450,1635307326,1050,468,451,469,462
1635306627,351,448,1635307329,1053,469,450,469,464
1635306628,352,454,1635307332,1056,468,451,470,464
1635306629,353,452,1635307335,1059,469,451,470,463
1635306630,354,454,1635307338,1062,468,446,469,461
1635306631,355,450,1635307341,1065,466,445,467,459
1635306632,356,450,1635307344,1068,465,445,467,459
1635306633,357,454,1635307347,1071,464,444,467,458
1635306634,358,452,1635307350,1074,464,443,465,457
1635306635,359,1400,1635307353,1077,463,441,465,455
1635306636,360,1193,1635307356,1080,464,442,467,456
1635306637,361,1130,1635307359,1083,464,444,467,456
1635306638,362,908,1635307362,1086,462,444,467,457
1635306639,363,1080,1635307365,1089,461,444,463,457
1635306640,364,1101,1635307368,1092,460,445,462,458
1635306641,365,974,1635307371,1095,461,446,463,457
1635306642,366,706,1635307374,1098,461,445,466,458
1635306643,367,849,1635307377,1101,461,446,463,457
1635306644,368,788,1635307380,1104,460,447,465,458
1635306645,369,704,1635307383,1107,461,447,467,459
1635306646,370,628,1635307386,1110,462,447,468,459
1635306647,371,577,1635307389,1113,463,446,468,459
1635306648,372,581,1635307392,1116,464,447,469,459
1635306649,373,544,1635307395,1119,461,447,468,460
1635306650,374,552,1635307398,1122,458,449,467,461
1635306651,375,546,1635307401,1125,460,450,470,462
1635306652,376,546,1635307404,1128,462,449,470,463
1635306653,377,528,1635307407,1131,491,459,464,451
1635306654,378,528,1635307410,1134,737,490,507,495
1635306655,379,540,1635307413,1137,1065,570,765,556
1635306656,380,503,1635307416,1140,1366,699,1174,1069
1635306657,381,487,1635307419,1143,1509,1160,1454,1321
1635306658,382,487,1635307422,1146,1327,1117,1385,1296
1635306659,383,489,1635307425,1149,1223,1070,1071,1110
1635306660,384,495,1635307428,1152,1055,970,984,902
1635306661,385,487,1635307431,1155,812,891,858,832
1635306662,386,487,1635307434,1158,777,753,819,786
1635306663,387,483,1635307437,1161,719,655,720,741
1635306664,388,481,1635307440,1164,657,634,673,654
1635306665,389,475,1635307443,1167,629,609,621,619
1635306666,390,472,1635307446,1170,608,603,592,562
1635306667,391,468,1635307449,1173,568,591,557,535
1635306668,392,462,1635307452,1176,561,564,535,544
1635306669,393,466,1635307455,1179,526,543,543,539
1635306670,394,460,1635307458,1182,513,485,534,532
1635306671,395,466,1635307461,1185,501,478,521,519
1635306672,396,458,1635307464,1188,494,477,520,513
1635306673,397,460,1635307467,1191,487,472,517,512
1635306674,398,460,1635307470,1194,483,475,511,507
1635306675,399,462,1635307473,1197,480,467,506,501
1635306676,400,460,1635307476,1200,473,466,503,502
1635306677,401,458,1635307479,1203,475,464,503,500
1635306678,402,456,1635307482,1206,472,468,497,495
1635306679,403,460,1635307485,1209,471,466,498,496
1635306680,404,458,1635307488,1212,470,457,497,492
1635306681,405,458,1635307491,1215,465,458,497,487
1635306682,406,454,1635307494,1218,465,456,491,487
1635306683,407,456,1635307497,1221,465,455,491,487
1635306684,408,456,1635307500,1224,464,455,490,487
1635306685,409,456,1635307503,1227,461,454,486,486
1635306686,410,454,1635307506,1230,460,454,486,484
1635306687,411,456,1635307509,1233,459,454,485,484
1635306688,412,456,1635307512,1236,460,453,484,482
1635306689,413,456,1635307515,1239,460,453,483,483
1635306690,414,456,1635307518,1242,459,455,482,482
1635306691,415,454,1635307521,1245,457,454,478,479
1635306692,416,454,1635307524,1248,456,456,478,479
1635306693,417,458,1635307527,1251,457,458,478,479
1635306694,418,456,1635307530,1254,457,459,479,479
1635306695,419,454,1635307533,1257,457,460,477,479
1635306696,420,454,1635307536,1260,457,460,477,479
1635306697,421,454,1635307539,1263,458,459,477,479
1635306698,422,450,1635307542,1266,458,459,477,478
1635306699,423,456,1635307545,1269,459,458,478,479
1635306700,424,452,1635307548,1272,458,457,479,479
1635306701,425,454,1635307551,1275,458,456,480,479
1635306702,426,452,1635307554,1278,458,455,478,478
1635306703,427,450,1635307557,1281,458,456,476,478
1635306704,428,452,1635307560,1284,458,455,476,480
1635306705,429,452,1635307563,1287,458,454,479,481
1635306706,430,450,1635307566,1290,457,454,478,481
1635306707,431,452,1635307569,1293,457,454,479,480
1635306708,432,454,1635307572,1296,458,453,480,480
1635306709,433,454,1635307575,1299,458,452,480,479
1635306710,434,452,1635307578,1302,459,452,478,478
1635306711,435,450,1635307581,1305,459,452,478,477
1635306712,436,452,1635307584,1308,457,452,476,476
1635306713,437,454,1635307587,1311,458,452,475,476
1635306714,438,454,1635307590,1314,458,453,473,475
1635306715,439,450,1635307593,1317,458,452,473,475
1635306716,440,454,1635307596,1320,458,453,473,474
1635306717,441,450,1635307599,1323,458,453,473,474
1635306718,442,454,1635307602,1326,457,453,473,474
1635306719,443,454,1635307605,1329,456,453,475,473
1635306720,444,452,1635307608,1332,457,452,475,472
1635306721,445,452,1635307611,1335,456,452,474,472
1635306722,446,452,1635307614,1338,456,452,472,472
1635306723,447,452,1635307617,1341,456,452,471,472
1635306724,448,452,1635307620,1344,456,453,470,472
1635306725,449,454,1635307623,1347,457,453,471,472
1635306726,450,454,1635307626,1350,457,452,470,472
