unixtime,ws,wd,co2,temp
1625852979,9,246,415,41
1625852982,9,211,427,41
1625852985,6,209,414,41
1625852988,5,211,439,41
1625852991,6,208,429,41
1625852994,7,215,410,41
1625852997,5,218,400,41
1625853000,4,218,381,41
1625853003,3,222,392,41
1625853006,2,263,396,41
1625853009,3,224,407,41
1625853012,3,284,412,41
1625853015,6,247,410,41
1625853018,8,211,398,41
1625853021,8,212,371,41
1625853024,7,236,379,41
1625853027,7,222,373,41
1625853030,8,236,371,41
1625853033,8,263,374,41
1625853036,6,239,389,41
1625853039,5,232,396,41
1625853042,5,253,396,41
1625853045,3,267,400,41
1625853048,3,268,420,41
1625853051,2,263,415,41
1625853054,3,264,431,42
1625853057,4,240,429,42
1625853060,2,232,443,42
1625853063,3,233,419,42
1625853066,3,230,416,42
1625853069,8,224,392,42
1625853072,7,217,383,42
1625853075,6,220,404,42
1625853078,8,232,342,42
1625853081,8,198,348,42
1625853084,8,216,392,42
1625853087,7,226,371,42
1625853090,5,272,344,42
1625853093,5,213,397,42
1625853096,5,210,446,42
1625853099,3,198,532,42
1625853102,4,238,361,42
1625853105,8,208,229,42
1625853108,8,217,314,42
1625853111,6,199,371,42
1625853114,6,249,388,42
1625853117,5,242,248,42
1625853120,7,222,353,42
1625853123,12,206,537,42
1625853126,13,204,433,42
1625853129,10,215,532,42
1625853132,10,212,553,42
1625853135,9,215,410,42
1625853138,9,212,537,42
1625853141,11,218,646,42
1625853144,13,210,583,41
1625853147,12,208,604,41
1625853150,11,202,617,41
1625853153,11,219,492,41
1625853156,11,201,442,41
1625853159,11,213,410,41
1625853162,10,205,395,41
1625853165,10,209,382,41
1625853168,8,229,358,41
1625853171,7,221,351,41
1625853174,8,225,358,41
1625853177,9,217,353,41
1625853180,11,218,370,41
1625853183,9,196,374,41
1625853186,7,218,384,41
1625853189,7,214,355,41
1625853192,7,238,342,41
1625853195,8,212,469,41
1625853198,8,219,576,41
1625853201,8,214,545,41
1625853204,6,234,508,41
1625853207,7,214,433,41
1625853210,7,214,424,42
1625853213,6,212,409,42
1625853216,7,228,420,42
1625853219,7,218,410,42
1625853222,7,238,399,42
1625853225,5,236,401,42
1625853228,8,220,395,42
1625853231,8,206,403,42
1625853234,7,214,436,42
1625853237,5,225,418,42
1625853240,5,219,394,42
1625853243,6,225,338,42
1625853246,7,245,392,42
1625853249,8,216,434,42
1625853252,12,216,478,42
1625853255,12,210,531,42
1625853258,14,209,514,42
1625853261,14,209,358,42
1625853264,12,215,311,41
1625853267,11,217,344,41
1625853270,10,223,299,41
1625853273,11,213,286,41
1625853276,9,225,325,41
1625853279,10,211,412,41
1625853282,10,218,438,41
1625853285,8,208,453,41
1625853288,11,211,419,41
1625853291,12,213,417,41
1625853294,13,211,396,41
1625853297,12,206,404,41
1625853300,11,240,382,41
1625853303,10,206,351,41
1625853306,10,205,365,41
1625853309,9,217,271,41
1625853312,9,225,456,41
1625853315,9,207,340,41
1625853318,10,190,549,41
1625853321,10,228,451,41
1625853324,10,213,335,41
1625853327,12,217,300,41
1625853330,8,221,541,41
1625853333,7,213,382,41
1625853336,6,224,342,41
1625853339,7,209,347,41
1625853342,10,213,360,41
1625853345,11,210,369,41
1625853348,10,226,402,41
1625853351,10,205,434,41
1625853354,9,210,426,41
1625853357,10,201,412,41
1625853360,10,219,427,41
1625853363,10,223,472,41
1625853366,9,237,427,41
1625853369,9,240,384,41
1625853372,9,238,394,41
1625853375,9,227,409,41
1625853378,13,236,413,41
1625853381,13,212,408,41
1625853384,8,248,404,41
1625853387,7,236,408,41
1625853390,6,253,414,41
