Read times - Voltage  graph	Voltage(V) - Voltage  graph	Read times - Current graph	Current(A) - Current graph	
600	4.984	600	0.0852	
601	4.985	601	0.0852	
602	4.985	602	0.0300	
603	4.984	603	0.0300	
604	4.984	604	0.0854	
605	4.985	605	0.0854	
606	4.985	606	0.0302	
607	4.985	607	0.0302	
608	4.985	608	0.0854	
609	4.984	609	0.0854	
610	4.984	610	0.0302	
611	4.985	611	0.0302	
612	4.985	612	0.0726	
613	4.983	613	0.0726	
614	4.983	614	0.0300	
615	4.985	615	0.0300	
616	4.985	616	0.0720	
617	4.985	617	0.0720	
618	4.985	618	0.0302	
619	4.985	619	0.0302	
620	4.985	620	0.0720	
621	4.985	621	0.0720	
622	4.985	622	0.0300	
623	4.984	623	0.0300	
624	4.984	624	0.0714	
625	4.984	625	0.0714	
626	4.984	626	0.0294	
627	4.984	627	0.0294	
628	4.984	628	0.0710	
629	4.984	629	0.0710	
630	4.984	630	0.0298	
631	4.984	631	0.0298	
632	4.984	632	0.0706	
633	4.985	633	0.0706	
634	4.985	634	0.0300	
635	4.984	635	0.0300	
636	4.984	636	0.0694	
637	4.985	637	0.0694	
638	4.985	638	0.0302	
639	4.984	639	0.0302	
640	4.984	640	0.0690	
641	4.984	641	0.0690	
642	4.984	642	0.0300	
643	4.985	643	0.0300	
644	4.985	644	0.0359	
645	4.985	645	0.0359	
646	4.985	646	0.0302	
647	4.985	647	0.0302	
648	4.985	648	0.0355	
649	4.985	649	0.0355	
650	4.985	650	0.0302	
651	4.985	651	0.0302	
652	4.985	652	0.0353	
653	4.985	653	0.0353	
654	4.985	654	0.0294	
655	4.980	655	0.0294	
656	4.980	656	0.0349	
657	4.985	657	0.0349	
658	4.985	658	0.0294	
659	4.980	659	0.0294	
660	4.980	660	0.0351	
661	4.985	661	0.0351	
662	4.985	662	0.0305	
663	4.978	663	0.0305	
664	4.978	664	0.0351	
665	4.985	665	0.0351	
666	4.985	666	0.0313	
667	4.980	667	0.0313	
668	4.980	668	0.0345	
669	4.985	669	0.0345	
670	4.985	670	0.0307	
671	4.980	671	0.0307	
672	4.980	672	0.0345	
673	4.985	673	0.0345	
674	4.985	674	0.0307	
675	4.980	675	0.0307	
676	4.980	676	0.0347	
677	4.984	677	0.0347	
678	4.984	678	0.0307	
679	4.981	679	0.0307	
680	4.981	680	0.0311	
681	4.983	681	0.0311	
682	4.983	682	0.0309	
683	4.980	683	0.0309	
684	4.980	684	0.0313	
685	4.983	685	0.0313	
686	4.983	686	0.0302	
687	4.976	687	0.0302	
688	4.976	688	0.0319	
689	4.984	689	0.0319	
690	4.984	690	0.0302	
691	4.976	691	0.0302	
692	4.976	692	0.0317	
693	4.984	693	0.0317	
694	4.984	694	0.0307	
695	4.976	695	0.0307	
696	4.976	696	0.0311	
697	4.985	697	0.0311	
698	4.985	698	0.0339	
699	4.974	699	0.0339	
700	4.974	700	0.0317	
701	4.985	701	0.0317	
702	4.985	702	0.0341	
703	4.976	703	0.0341	
704	4.976	704	0.0311	
705	4.985	705	0.0311	
706	4.985	706	0.0341	
707	4.974	707	0.0341	
708	4.974	708	0.0309	
709	4.984	709	0.0309	
710	4.984	710	0.0341	
711	4.976	711	0.0341	
712	4.976	712	0.0300	
713	4.984	713	0.0300	
714	4.984	714	0.0341	
715	4.976	715	0.0341	
716	4.976	716	0.0302	
717	4.984	717	0.0302	
718	4.984	718	0.0335	
719	4.979	719	0.0335	
720	4.979	720	0.0300	
721	4.984	721	0.0300	
722	4.984	722	0.0335	
723	4.979	723	0.0335	
724	4.979	724	0.0302	
725	4.984	725	0.0302	
726	4.984	726	0.0335	
727	4.979	727	0.0335	
728	4.979	728	0.0302	
729	4.985	729	0.0302	
730	4.985	730	0.0349	
731	4.979	731	0.0349	
732	4.979	732	0.0300	
733	4.984	733	0.0300	
734	4.984	734	0.0349	
735	4.979	735	0.0349	
736	4.979	736	0.0302	
737	4.985	737	0.0302	
738	4.985	738	0.0363	
739	4.977	739	0.0363	
740	4.977	740	0.0294	
741	4.984	741	0.0294	
742	4.984	742	0.0349	
743	4.979	743	0.0349	
744	4.979	744	0.0302	
745	4.984	745	0.0302	
746	4.984	746	0.0347	
747	4.979	747	0.0347	
748	4.979	748	0.0300	
749	4.984	749	0.0300	
750	4.984	750	0.0349	
751	4.978	751	0.0349	
752	4.978	752	0.0300	
753	4.984	753	0.0300	
754	4.984	754	0.0341	
755	4.983	755	0.0341	
756	4.983	756	0.0300	
757	4.984	757	0.0300	
758	4.984	758	0.0341	
759	4.983	759	0.0341	
760	4.983	760	0.0305	
761	4.985	761	0.0305	
762	4.985	762	0.0627	
763	4.983	763	0.0627	
764	4.983	764	0.0302	
765	4.985	765	0.0302	
766	4.985	766	0.0631	
767	4.983	767	0.0631	
768	4.983	768	0.0294	
769	4.984	769	0.0294	
770	4.984	770	0.0633	
771	4.983	771	0.0633	
772	4.983	772	0.0294	
773	4.984	773	0.0294	
774	4.984	774	0.0631	
775	4.984	775	0.0631	
776	4.984	776	0.0298	
777	4.984	777	0.0298	
778	4.984	778	0.0635	
779	4.984	779	0.0635	
780	4.984	780	0.0300	
781	4.983	781	0.0300	
782	4.983	782	0.0627	
783	4.983	783	0.0627	
784	4.983	784	0.0300	
785	4.984	785	0.0300	
786	4.984	786	0.0633	
787	4.984	787	0.0633	
788	4.984	788	0.0300	
789	4.984	789	0.0300	
790	4.984	790	0.0864	
791	4.984	791	0.0864	
792	4.984	792	0.0300	
793	4.984	793	0.0300	
794	4.984	794	0.0864	
795	4.982	795	0.0864	
796	4.982	796	0.0302	
797	4.984	797	0.0302	
798	4.984	798	0.0864	
799	4.982	799	0.0864	
800	4.982	800	0.0294	
801	4.983	801	0.0294	
802	4.983	802	0.0866	
803	4.984	803	0.0866	
804	4.984	804	0.0294	
805	4.983	805	0.0294	
806	4.983	806	0.0866	
807	4.983	807	0.0866	
808	4.983	808	0.0298	
809	4.983	809	0.0298	
810	4.983	810	0.0866	
811	4.984	811	0.0866	
812	4.984	812	0.0298	
813	4.983	813	0.0298	
814	4.983	814	0.0858	
815	4.984	815	0.0858	
