"unixtime","datetime","date","ws","wd","co2","temp"
1625605375,2021-07-06 21:02:55,"07/06/2021 21:02",2.01,66,450,42
1625605378,2021-07-06 21:02:58,"07/06/2021 21:02",2.35,22,443,42
1625605381,2021-07-06 21:03:01,"07/06/2021 21:03",2.68,23,450,42
1625605384,2021-07-06 21:03:04,"07/06/2021 21:03",3.02,36,509,42
1625605387,2021-07-06 21:03:07,"07/06/2021 21:03",2.68,55,524,42
1625605390,2021-07-06 21:03:10,"07/06/2021 21:03",2.35,61,359,42
1625605393,2021-07-06 21:03:13,"07/06/2021 21:03",3.02,53,357,42
1625605396,2021-07-06 21:03:16,"07/06/2021 21:03",4.02,56,451,42
1625605399,2021-07-06 21:03:19,"07/06/2021 21:03",2.68,54,326,42
1625605402,2021-07-06 21:03:22,"07/06/2021 21:03",1.68,55,432,42
1625605405,2021-07-06 21:03:25,"07/06/2021 21:03",2.35,58,441,42
1625605408,2021-07-06 21:03:28,"07/06/2021 21:03",2.01,62,419,42
1625605411,2021-07-06 21:03:31,"07/06/2021 21:03",2.68,49,433,42
1625605414,2021-07-06 21:03:34,"07/06/2021 21:03",2.68,53,437,42
1625605417,2021-07-06 21:03:37,"07/06/2021 21:03",2.01,49,428,42
1625605420,2021-07-06 21:03:40,"07/06/2021 21:03",2.01,63,387,42
1625605423,2021-07-06 21:03:43,"07/06/2021 21:03",1.68,56,388,42
1625605426,2021-07-06 21:03:46,"07/06/2021 21:03",1.68,58,385,42
1625605429,2021-07-06 21:03:49,"07/06/2021 21:03",2.35,58,396,42
1625605432,2021-07-06 21:03:52,"07/06/2021 21:03",2.68,61,382,42
1625605435,2021-07-06 21:03:55,"07/06/2021 21:03",2.68,84,371,42
1625605438,2021-07-06 21:03:58,"07/06/2021 21:03",2.68,63,359,42
1625605441,2021-07-06 21:04:01,"07/06/2021 21:04",1.68,63,426,42
1625605444,2021-07-06 21:04:04,"07/06/2021 21:04",2.01,62,436,42
1625605447,2021-07-06 21:04:07,"07/06/2021 21:04",1.68,62,446,42
1625605450,2021-07-06 21:04:10,"07/06/2021 21:04",1.68,85,447,42
1625605453,2021-07-06 21:04:13,"07/06/2021 21:04",2.68,62,472,42
1625605456,2021-07-06 21:04:16,"07/06/2021 21:04",3.69,63,469,42
1625605459,2021-07-06 21:04:19,"07/06/2021 21:04",2.68,61,411,42
1625605462,2021-07-06 21:04:22,"07/06/2021 21:04",2.68,62,427,42
1625605465,2021-07-06 21:04:25,"07/06/2021 21:04",3.35,81,386,42
1625605468,2021-07-06 21:04:28,"07/06/2021 21:04",4.36,60,424,42
1625605471,2021-07-06 21:04:31,"07/06/2021 21:04",5.03,59,472,42
1625605474,2021-07-06 21:04:34,"07/06/2021 21:04",4.36,61,482,42
1625605477,2021-07-06 21:04:37,"07/06/2021 21:04",4.02,55,555,42
1625605480,2021-07-06 21:04:40,"07/06/2021 21:04",4.02,33,495,42
1625605483,2021-07-06 21:04:43,"07/06/2021 21:04",4.69,51,491,42
1625605486,2021-07-06 21:04:46,"07/06/2021 21:04",4.69,55,395,42
1625605489,2021-07-06 21:04:49,"07/06/2021 21:04",4.36,48,402,42
1625605492,2021-07-06 21:04:52,"07/06/2021 21:04",3.69,55,399,42
1625605495,2021-07-06 21:04:55,"07/06/2021 21:04",3.02,38,400,42
1625605498,2021-07-06 21:04:58,"07/06/2021 21:04",3.02,54,392,42
1625605501,2021-07-06 21:05:01,"07/06/2021 21:05",3.35,44,391,42
1625605504,2021-07-06 21:05:04,"07/06/2021 21:05",3.35,66,382,42
1625605507,2021-07-06 21:05:07,"07/06/2021 21:05",3.69,35,391,42
1625605510,2021-07-06 21:05:10,"07/06/2021 21:05",2.68,29,395,42
1625605513,2021-07-06 21:05:13,"07/06/2021 21:05",3.02,25,402,42
1625605516,2021-07-06 21:05:16,"07/06/2021 21:05",3.35,16,407,42
1625605519,2021-07-06 21:05:19,"07/06/2021 21:05",3.02,16,407,42
1625605522,2021-07-06 21:05:22,"07/06/2021 21:05",3.35,18,403,42
1625605525,2021-07-06 21:05:25,"07/06/2021 21:05",3.35,36,407,42
1625605528,2021-07-06 21:05:28,"07/06/2021 21:05",3.02,13,413,42
1625605531,2021-07-06 21:05:31,"07/06/2021 21:05",3.35,13,436,42
1625605534,2021-07-06 21:05:34,"07/06/2021 21:05",4.02,19,506,41
1625605537,2021-07-06 21:05:37,"07/06/2021 21:05",4.02,23,572,41
1625605540,2021-07-06 21:05:40,"07/06/2021 21:05",4.02,48,480,41
1625605543,2021-07-06 21:05:43,"07/06/2021 21:05",3.02,19,522,41
1625605546,2021-07-06 21:05:46,"07/06/2021 21:05",3.35,18,440,41
1625605549,2021-07-06 21:05:49,"07/06/2021 21:05",3.35,26,468,41
1625605552,2021-07-06 21:05:52,"07/06/2021 21:05",3.69,19,461,41
1625605555,2021-07-06 21:05:55,"07/06/2021 21:05",3.02,62,451,41
1625605558,2021-07-06 21:05:58,"07/06/2021 21:05",2.35,16,437,41
1625605561,2021-07-06 21:06:01,"07/06/2021 21:06",1.34,14,404,41
1625605564,2021-07-06 21:06:04,"07/06/2021 21:06",1.68,13,418,41
1625605567,2021-07-06 21:06:07,"07/06/2021 21:06",2.68,14,410,41
1625605570,2021-07-06 21:06:10,"07/06/2021 21:06",4.02,65,440,41
1625605573,2021-07-06 21:06:13,"07/06/2021 21:06",4.02,46,472,41
1625605576,2021-07-06 21:06:16,"07/06/2021 21:06",4.02,26,503,41
1625605579,2021-07-06 21:06:19,"07/06/2021 21:06",3.35,38,497,41
1625605582,2021-07-06 21:06:22,"07/06/2021 21:06",2.68,43,459,41
1625605585,2021-07-06 21:06:25,"07/06/2021 21:06",3.02,26,465,41
1625605588,2021-07-06 21:06:28,"07/06/2021 21:06",2.68,47,456,41
1625605591,2021-07-06 21:06:31,"07/06/2021 21:06",2.35,54,476,41
1625605594,2021-07-06 21:06:34,"07/06/2021 21:06",1.34,46,481,41
1625605597,2021-07-06 21:06:37,"07/06/2021 21:06",1.01,51,458,41
1625605600,2021-07-06 21:06:40,"07/06/2021 21:06",1.68,70,466,41
1625605603,2021-07-06 21:06:43,"07/06/2021 21:06",2.01,40,471,42
1625605606,2021-07-06 21:06:46,"07/06/2021 21:06",3.02,23,438,42
1625605609,2021-07-06 21:06:49,"07/06/2021 21:06",3.35,22,413,42
1625605612,2021-07-06 21:06:52,"07/06/2021 21:06",3.02,29,434,42
1625605615,2021-07-06 21:06:55,"07/06/2021 21:06",2.35,36,436,42
1625605618,2021-07-06 21:06:58,"07/06/2021 21:06",1.68,13,463,42
1625605621,2021-07-06 21:07:01,"07/06/2021 21:07",2.01,14,464,42
1625605624,2021-07-06 21:07:04,"07/06/2021 21:07",2.35,14,438,42
1625605627,2021-07-06 21:07:07,"07/06/2021 21:07",2.35,14,452,42
1625605630,2021-07-06 21:07:10,"07/06/2021 21:07",2.68,31,471,42
1625605633,2021-07-06 21:07:13,"07/06/2021 21:07",2.35,14,490,42
1625605636,2021-07-06 21:07:16,"07/06/2021 21:07",2.35,15,479,42
1625605639,2021-07-06 21:07:19,"07/06/2021 21:07",2.68,15,483,42
1625605642,2021-07-06 21:07:22,"07/06/2021 21:07",3.35,23,464,42
1625605645,2021-07-06 21:07:25,"07/06/2021 21:07",3.02,43,469,42
1625605648,2021-07-06 21:07:28,"07/06/2021 21:07",2.68,19,474,42
1625605651,2021-07-06 21:07:31,"07/06/2021 21:07",1.68,34,465,41
1625605654,2021-07-06 21:07:34,"07/06/2021 21:07",1.34,20,456,41
1625605657,2021-07-06 21:07:37,"07/06/2021 21:07",1.68,28,465,41
1625605660,2021-07-06 21:07:40,"07/06/2021 21:07",1.34,47,463,41
1625605663,2021-07-06 21:07:43,"07/06/2021 21:07",1.68,40,458,41
1625605666,2021-07-06 21:07:46,"07/06/2021 21:07",1.68,55,442,42
1625605669,2021-07-06 21:07:49,"07/06/2021 21:07",1.68,54,421,42
1625605672,2021-07-06 21:07:52,"07/06/2021 21:07",2.01,60,476,42
1625605675,2021-07-06 21:07:55,"07/06/2021 21:07",1.34,66,478,42
1625605678,2021-07-06 21:07:58,"07/06/2021 21:07",1.34,62,443,42
1625605681,2021-07-06 21:08:01,"07/06/2021 21:08",1.34,63,406,42
1625605684,2021-07-06 21:08:04,"07/06/2021 21:08",1.68,64,408,42
1625605687,2021-07-06 21:08:07,"07/06/2021 21:08",2.01,74,412,42
1625605690,2021-07-06 21:08:10,"07/06/2021 21:08",2.35,85,417,42
1625605693,2021-07-06 21:08:13,"07/06/2021 21:08",3.35,62,418,42
1625605696,2021-07-06 21:08:16,"07/06/2021 21:08",4.02,65,441,42
1625605699,2021-07-06 21:08:19,"07/06/2021 21:08",4.02,57,438,42
1625605702,2021-07-06 21:08:22,"07/06/2021 21:08",4.36,68,431,42
1625605705,2021-07-06 21:08:25,"07/06/2021 21:08",3.69,33,448,42
