unixtime,ws,wd,co2,temp
1625606302,8,63,466,42
1625606305,6,85,472,42
1625606308,7,60,477,42
1625606311,8,60,466,42
1625606314,7,56,468,42
1625606317,7,55,462,42
1625606320,6,60,463,42
1625606323,6,41,460,42
1625606326,6,24,421,42
1625606329,6,14,397,42
1625606332,5,29,388,42
1625606335,6,31,403,42
1625606338,7,16,382,42
1625606341,14,18,388,42
1625606344,15,24,435,42
1625606347,11,45,456,42
1625606350,10,84,402,42
1625606353,11,59,399,42
1625606356,9,64,442,42
1625606359,6,64,426,42
1625606362,8,59,411,42
1625606365,7,70,386,42
1625606368,8,58,421,42
1625606371,7,55,421,42
1625606374,7,49,383,42
1625606377,5,41,502,42
1625606380,4,66,511,42
1625606383,4,22,140,42
1625606386,4,14,251,42
1625606389,3,18,359,42
1625606392,4,17,387,42
1625606395,5,41,425,42
1625606398,6,22,489,42
1625606401,8,22,495,42
1625606404,7,22,497,42
1625606407,5,39,447,42
1625606410,6,49,458,42
1625606413,10,61,463,42
1625606416,8,70,501,42
1625606419,5,76,500,42
1625606422,3,55,492,41
1625606425,6,68,480,42
1625606428,6,15,480,42
1625606431,4,23,448,42
1625606434,3,13,404,42
1625606437,3,15,365,42
1625606440,3,38,366,42
1625606443,2,19,371,42
1625606446,3,30,380,42
1625606449,3,41,381,42
1625606452,3,48,373,42
1625606455,4,76,392,42
1625606458,5,62,380,42
1625606461,6,66,374,42
1625606464,6,68,360,42
1625606467,8,58,368,42
1625606470,9,63,362,42
1625606473,9,23,373,42
1625606476,6,35,369,42
1625606479,5,13,368,42
1625606482,6,15,355,42
1625606485,6,35,364,42
1625606488,5,18,372,42
1625606491,5,23,376,42
1625606494,6,31,389,42
1625606497,4,58,415,42
1625606500,4,62,417,42
1625606503,5,63,431,42
1625606506,6,63,430,42
1625606509,6,64,451,42
1625606512,7,65,440,42
1625606515,11,83,392,42
1625606518,12,60,430,42
1625606521,13,49,486,42
1625606524,12,56,491,42
1625606527,10,21,483,42
1625606530,7,42,484,42
1625606533,7,15,469,42
1625606536,6,14,476,42
1625606539,5,16,481,42
1625606542,4,17,476,42
1625606545,7,42,462,42
1625606548,9,44,419,42
1625606551,10,50,362,42
1625606554,10,59,492,42
1625606557,8,63,459,42
1625606560,6,75,473,42
1625606563,4,60,487,42
1625606566,5,59,453,42
1625606569,8,54,412,42
1625606572,7,56,382,42
1625606575,9,66,395,42
1625606578,10,24,383,42
1625606581,9,15,401,42
1625606584,8,14,405,42
1625606587,9,15,402,42
1625606590,8,41,394,42
1625606593,8,32,356,42
1625606596,9,22,333,42
1625606599,9,42,384,42
1625606602,10,60,450,42
