unixtime,ws,wd,co2,temp
1625854042,2,264,181,37
1625854045,1,264,113,37
1625854048,1,264,146,37
1625854051,3,264,165,37
1625854054,5,267,160,37
1625854057,7,270,135,37
1625854060,8,272,72,37
1625854063,7,273,102,37
1625854066,5,272,281,36
1625854069,5,273,387,37
1625854072,4,272,235,37
1625854075,6,273,237,37
1625854078,5,273,238,37
1625854081,8,279,201,37
1625854084,8,274,46,37
1625854087,7,274,0,36
1625854090,5,272,126,36
1625854093,5,274,104,36
1625854096,3,273,185,37
1625854099,2,273,189,37
1625854102,2,273,187,37
1625854105,2,273,181,37
1625854108,2,273,170,37
1625854111,2,273,175,37
1625854114,2,273,159,37
1625854117,2,273,165,37
1625854120,2,274,167,37
1625854123,3,273,162,37
1625854126,3,274,154,37
1625854129,5,273,154,37
1625854132,5,274,160,37
1625854135,7,279,156,37
1625854138,8,290,122,37
1625854141,5,249,107,37
1625854144,6,249,169,37
1625854147,8,268,226,37
1625854150,7,303,95,37
1625854153,8,313,64,37
1625854156,9,312,274,37
1625854159,8,307,263,37
1625854162,8,271,156,37
1625854165,7,254,139,36
1625854168,7,254,138,37
1625854171,6,254,120,36
1625854174,7,264,37,36
1625854177,9,274,149,36
1625854180,10,279,237,36
1625854183,8,284,140,36
1625854186,9,286,173,36
1625854189,9,299,200,36
1625854192,8,318,242,36
1625854195,6,317,252,36
1625854198,5,309,221,36
1625854201,4,262,130,36
1625854204,4,273,91,36
1625854207,3,273,170,36
1625854210,3,273,169,36
1625854213,5,273,124,36
1625854216,4,276,103,36
1625854219,5,276,107,36
1625854222,4,276,123,36
1625854225,6,276,142,36
1625854228,8,276,151,36
1625854231,6,276,138,36
1625854234,7,280,165,36
1625854237,6,281,232,36
1625854240,5,281,149,36
1625854243,4,281,137,36
1625854246,6,281,161,36
1625854249,5,281,0,36
1625854252,6,285,35,36
1625854255,7,280,150,36
1625854258,10,290,86,36
1625854261,15,294,88,36
1625854264,13,290,136,36
1625854267,14,294,64,35
1625854270,11,287,149,35
1625854273,10,292,203,35
1625854276,8,298,183,35
1625854279,6,298,216,35
1625854282,5,299,234,35
1625854285,5,299,447,35
1625854288,7,295,353,35
1625854291,7,277,0,35
1625854294,6,278,0,35
1625854297,6,260,20,35
1625854300,6,274,165,35
1625854303,7,274,156,35
1625854306,8,281,159,35
1625854309,6,269,182,35
1625854312,7,269,163,35
1625854315,10,278,154,35
1625854318,8,309,0,35
1625854321,5,259,54,35
1625854324,5,260,329,35
1625854327,5,281,319,35
1625854330,6,281,256,36
1625854333,5,282,264,36
1625854336,5,280,230,36
1625854339,9,284,194,36
1625854342,8,276,72,36
1625854345,10,293,60,35
1625854348,10,306,40,35
1625854351,8,298,87,35
1625854354,5,285,243,35
1625854357,5,292,216,35
1625854360,4,291,234,36
1625854363,5,291,167,36
1625854366,5,295,132,36
1625854369,4,295,175,36
1625854372,5,294,244,36
1625854375,5,238,116,36
1625854378,6,238,136,36
1625854381,5,267,149,36
1625854384,6,281,159,36
1625854387,8,290,159,36
