Running bytecode...,,,,,,,,,,
SCD Initializing,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,
,,,,,,,,,,
Memory:       6896,,,,,,,,,,
RF identifier 2,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,
Hub Connect:  1,,,,,,,,,,
Transmit On:  1,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,
,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,
1,1,946691891,723,24,33,358,0,4368,0,3.21
1,1,946691894,723,24,33,358,0,4368,0,3.21
1,1,946691897,723,24,33,358,0,4368,0,3.24
1,1,946691900,669,24,33,358,0,4368,0,3.12
1,1,946691903,669,24,33,358,0,4368,0,3.23
1,1,946691906,674,24,33,358,0,4368,0,3.24
1,1,946691909,677,24,33,358,0,4368,0,3.23
1,1,946691912,683,24,33,358,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946691915,0,0,0,358,0,6080,0,3.14
1,1,946691918,483,24,33,359,0,4368,0,3.24
1,1,946691921,514,24,33,358,0,4368,0,3.23
1,1,946691924,551,24,33,357,0,4368,0,3.22
1,1,946691927,721,24,33,358,0,4368,0,3.24
1,1,946691930,715,24,33,358,0,4368,0,3.18
1,1,946691933,708,24,33,358,0,4368,0,3.23
1,1,946691936,720,24,33,358,0,4368,0,3.23
1,1,946691939,724,24,33,358,0,4368,0,3.22
1,1,946691942,720,24,33,358,0,4368,0,3.23
1,1,946691945,715,24,33,358,0,4368,0,3.19
1,1,946691948,711,24,33,358,0,4368,0,3.23
1,1,946691951,712,24,33,358,0,4368,0,3.22
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946691954,0,0,0,358,0,6080,0,3.22
1,1,946691957,533,24,33,358,0,4368,0,3.23
1,1,946691960,547,24,33,358,0,4368,0,3.23
1,1,946691963,586,24,33,358,0,4368,0,3.23
1,1,946691966,643,24,33,358,0,4368,0,3.23
1,1,946691969,694,24,33,358,0,4368,0,3.22
1,1,946691972,655,24,33,358,0,4368,0,3.23
1,1,946691975,678,24,33,358,0,4368,0,3.25
1,1,946691978,684,24,33,358,0,4368,0,3.23
1,1,946691981,683,24,33,358,0,4368,0,3.23
1,1,946691984,685,24,33,359,0,4368,0,3.23
1,1,946691987,686,24,33,359,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946691990,0,0,0,358,0,6080,0,3.22
1,1,946691993,507,24,33,358,0,4368,0,3.23
1,1,946691996,521,24,33,358,0,4368,0,3.23
1,1,946691999,536,24,33,358,0,4368,0,3.12
1,1,946692002,638,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692005,0,0,0,358,0,6080,0,3.22
1,1,946692008,530,24,33,358,0,4368,0,3.24
1,1,946692011,654,24,33,358,0,4368,0,3.24
1,1,946692014,699,24,33,358,0,4368,0,3.23
1,1,946692017,692,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692020,0,0,0,358,0,6080,0,3.22
1,1,946692023,304,24,33,358,0,4368,0,3.24
1,1,946692026,388,24,33,358,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692029,0,0,0,359,0,6080,0,3.11
1,1,946692032,364,24,33,358,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692035,0,0,0,358,0,6080,0,3.22
1,1,946692038,0,24,33,358,0,4368,0,3.25
1,1,946692041,0,24,33,358,0,4368,0,3.24
1,1,946692044,0,24,33,359,0,4368,0,3.11
1,1,946692047,655,24,33,358,0,4368,0,3.25
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692050,0,0,0,358,0,6080,0,3.23
1,1,946692053,507,24,33,358,0,4368,0,3.24
1,1,946692056,652,24,33,358,0,4368,0,3.24
1,1,946692059,668,24,33,358,0,4368,0,3.12
1,1,946692062,673,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692065,0,0,0,358,0,6080,0,3.22
1,1,946692068,265,24,33,358,0,4368,0,3.23
1,1,946692071,361,24,33,358,0,4368,0,3.24
1,1,946692074,513,24,33,358,0,4368,0,3.12
1,1,946692077,659,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692080,0,0,0,358,0,6080,0,3.22
1,1,946692083,0,24,33,358,0,4368,0,3.24
1,1,946692086,544,24,33,358,0,4368,0,3.23
1,1,946692089,646,24,33,358,0,4368,0,3.11
1,1,946692092,687,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692095,0,0,0,359,0,6080,0,3.22
1,1,946692098,0,24,33,358,0,4368,0,3.24
1,1,946692101,558,24,33,358,0,4368,0,3.24
1,1,946692104,610,24,33,358,0,4368,0,3.11
1,1,946692107,653,24,33,358,0,4368,0,3.23
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692110,0,0,0,359,0,6080,0,3.23
1,1,946692113,184,24,33,358,0,4368,0,3.24
1,1,946692116,357,24,33,359,0,4368,0,3.24
1,1,946692119,481,24,33,359,0,4368,0,3.12
1,1,946692122,594,24,33,358,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
-,,,,,,,,,,
1,1,946692125,0,0,0,358,0,6080,0,3.22
1,1,946692128,0,24,33,358,0,4368,0,3.24
1,1,946692131,547,24,33,359,0,4368,0,3.25
1,1,946692134,635,24,33,358,0,4368,0,3.12
1,1,946692137,643,24,33,358,0,4368,0,3.24
-,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,
