Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       5888,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946755052,674,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755055,673,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755058,674,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755061,674,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755064,673,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755067,673,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755070,673,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755073,673,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755076,673,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755079,673,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755082,672,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755085,671,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755088,670,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755091,670,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755094,671,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755097,671,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755100,670,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       5888,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946755116,670,24,33,13,0,6112,0,3.22,,,,,,,,,,
1,1,946755119,670,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755122,670,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755125,670,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755128,669,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755131,669,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755134,669,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755137,670,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755140,670,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755143,670,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755146,670,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755149,670,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755152,669,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755155,669,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755158,668,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755161,667,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755164,667,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755167,668,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755170,668,24,33,14,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755173,668,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755176,668,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
Loading /flash/main.mpy...,,,,,,,,,,,,,,,,,,,,
Running bytecode...,,,,,,,,,,,,,,,,,,,,
SCD Initializing,,,,,,,,,,,,,,,,,,,,
Instantiated FRAM,,,,,,,,,,,,,,,,,,,,
Memory:       5888,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946755190,668,24,33,13,0,6112,0,3.23,,,,,,,,,,
1,1,946755193,668,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755196,668,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755199,668,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755202,667,24,33,12,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755205,667,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755208,667,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755211,666,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755214,665,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755217,665,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755220,665,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755223,665,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755226,665,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755229,665,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755232,665,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755235,665,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755238,665,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755241,665,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755244,663,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755247,662,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755250,662,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755253,662,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755256,662,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755259,661,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755262,661,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755265,661,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755268,661,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755271,660,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755274,660,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755277,660,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755280,659,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755283,658,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755286,657,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755289,658,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755292,657,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755295,658,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755298,657,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755301,657,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755304,656,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755307,657,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755310,657,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755313,657,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755316,656,24,33,13,0,3792,0,3.07,TRUE,,,,,,,,,
1,1,946755319,656,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755322,655,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755325,655,24,33,13,0,3792,0,3.21,TRUE,,,,,,,,,
1,1,946755328,655,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755331,655,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755334,655,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755337,654,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755340,654,24,33,12,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755343,654,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755346,653,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755349,654,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755352,655,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755355,655,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755358,653,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755361,653,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755364,652,24,33,13,0,3792,0,3.24,TRUE,,,,,,,,,
1,1,946755367,652,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755370,652,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755373,651,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755376,651,24,33,13,0,3792,0,3.15,TRUE,,,,,,,,,
1,1,946755379,650,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755382,651,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755385,651,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755388,650,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755391,649,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755394,648,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755397,648,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755400,649,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755403,649,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755406,648,24,33,13,0,3792,0,3.16,TRUE,,,,,,,,,
1,1,946755409,649,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755412,649,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755415,649,24,33,13,0,3792,0,3.08,TRUE,,,,,,,,,
1,1,946755418,648,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755421,648,24,33,14,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755424,648,24,33,14,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755427,648,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755430,648,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755433,647,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755436,647,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755439,646,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755442,646,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755445,646,24,33,13,0,3792,0,3.09,TRUE,,,,,,,,,
1,1,946755448,645,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755451,645,24,33,13,0,3792,0,3.22,TRUE,,,,,,,,,
1,1,946755454,644,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
1,1,946755457,643,24,33,13,0,3792,0,3.23,TRUE,,,,,,,,,
