Memory:       8496,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,946685479,383,24,20,132,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685482,383,24,20,232,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685485,383,24,20,225,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685488,382,24,20,232,0,5056,0,3.47,TRUE,,,,,,,,,
1,0,946685491,382,24,20,217,0,5056,0,3.43,TRUE,,,,,,,,,
1,0,946685494,383,24,20,239,0,5056,0,3.42,TRUE,,,,,,,,,
1,0,946685497,384,24,20,233,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685500,385,24,19,207,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685503,385,24,19,229,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685506,385,24,19,235,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685509,385,24,20,239,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685512,386,24,19,133,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685515,385,24,19,222,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685518,384,24,19,231,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685521,384,24,20,144,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685524,384,24,20,147,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685527,384,24,20,241,0,5056,0,3.48,TRUE,,,,,,,,,
1,0,946685530,382,24,20,232,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685533,382,24,20,235,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685536,382,24,20,157,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685539,382,24,20,149,0,5056,0,3.12,TRUE,,,,,,,,,
1,0,946685542,383,24,20,169,0,5056,0,3.4,TRUE,,,,,,,,,
1,0,946685545,381,24,20,157,0,5056,0,3.22,TRUE,,,,,,,,,
1,0,946685548,382,24,19,229,0,5056,0,3.4,TRUE,,,,,,,,,
1,0,946685551,383,24,20,176,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685554,386,24,20,204,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685557,387,24,20,216,0,5056,0,3.44,TRUE,,,,,,,,,
1,0,946685560,389,24,20,148,0,5056,0,3.13,TRUE,,,,,,,,,
1,0,946685563,389,24,20,220,0,5056,0,3.23,TRUE,,,,,,,,,
1,0,946685566,389,24,20,225,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685569,391,24,20,241,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685572,392,24,20,186,0,5056,0,3.4,TRUE,,,,,,,,,
1,0,946685575,393,24,20,164,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685578,394,24,20,168,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685581,394,24,20,141,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685584,393,24,20,216,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685587,392,24,20,165,0,5056,0,3.4,TRUE,,,,,,,,,
1,0,946685590,391,24,20,140,0,5056,0,3.13,TRUE,,,,,,,,,
1,0,946685593,391,24,20,136,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685596,392,24,20,217,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685599,392,24,20,211,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685602,391,24,20,242,0,5056,0,3.45,TRUE,,,,,,,,,
1,0,946685605,390,24,20,182,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685608,391,24,20,147,0,5056,0,3.13,TRUE,,,,,,,,,
1,0,946685611,391,24,20,157,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685614,391,24,20,145,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685617,390,24,19,155,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685620,389,24,19,153,0,5056,0,3.14,TRUE,,,,,,,,,
1,0,946685623,389,24,20,118,0,5056,0,3.2,TRUE,,,,,,,,,
1,0,946685626,388,24,20,183,0,5056,0,3.41,TRUE,,,,,,,,,
1,0,946685629,389,24,19,154,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685632,389,24,20,147,0,5056,0,3.46,TRUE,,,,,,,,,
1,0,946685635,389,24,20,195,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685638,387,24,19,227,0,5056,0,3.36,TRUE,,,,,,,,,
1,0,946685641,387,24,19,246,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685644,388,24,19,158,0,5056,0,3.18,TRUE,,,,,,,,,
1,0,946685647,388,24,20,165,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685650,388,24,20,203,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685653,387,24,20,224,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685656,387,24,20,230,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685659,387,24,20,241,0,5056,0,3.35,TRUE,,,,,,,,,
1,0,946685662,386,24,20,145,0,5056,0,3.37,TRUE,,,,,,,,,
1,0,946685665,387,24,19,229,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685668,387,24,19,224,0,5056,0,3.33,TRUE,,,,,,,,,
1,0,946685671,386,24,19,242,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685674,387,24,19,236,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685677,387,24,20,157,0,5056,0,3.36,TRUE,,,,,,,,,
1,0,946685680,386,24,19,147,0,5056,0,3.22,TRUE,,,,,,,,,
1,0,946685683,386,24,19,150,0,5056,0,3.21,TRUE,,,,,,,,,
1,0,946685686,386,24,20,195,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685689,385,24,19,191,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685692,385,24,19,231,0,5056,0,3.49,TRUE,,,,,,,,,
1,0,946685695,385,24,19,219,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685698,385,24,19,205,0,5056,0,3.36,TRUE,,,,,,,,,
1,0,946685701,385,24,19,242,0,5056,0,3.35,TRUE,,,,,,,,,
1,0,946685704,385,24,19,235,0,5056,0,3.44,TRUE,,,,,,,,,
1,0,946685707,385,24,19,224,0,5056,0,3.43,TRUE,,,,,,,,,
1,0,946685710,383,24,19,223,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685713,383,24,19,233,0,5056,0,3.37,TRUE,,,,,,,,,
1,0,946685716,382,24,19,231,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685719,382,24,19,238,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685722,382,24,19,167,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685725,382,24,19,161,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685728,382,24,19,171,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685731,381,24,19,141,0,5056,0,3.21,TRUE,,,,,,,,,
1,0,946685734,382,24,19,155,0,5056,0,3.09,TRUE,,,,,,,,,
1,0,946685737,380,24,19,233,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685740,380,24,19,238,0,5056,0,3.39,TRUE,,,,,,,,,
1,0,946685743,380,24,19,189,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685746,380,24,19,234,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685749,381,24,19,230,0,5056,0,3.35,TRUE,,,,,,,,,
1,0,946685752,380,24,19,152,0,5056,0,3.23,TRUE,,,,,,,,,
1,0,946685755,380,24,19,170,0,5056,0,3.29,TRUE,,,,,,,,,
1,0,946685758,379,24,19,133,0,5056,0,3.15,TRUE,,,,,,,,,
1,0,946685761,379,24,19,140,0,5056,0,3.36,TRUE,,,,,,,,,
1,0,946685764,378,24,19,133,0,5056,0,3.18,TRUE,,,,,,,,,
1,0,946685767,378,24,19,175,0,5056,0,3.31,TRUE,,,,,,,,,
1,0,946685770,378,24,19,221,0,5056,0,3.24,TRUE,,,,,,,,,
1,0,946685773,379,24,19,162,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685776,379,24,19,140,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685779,378,24,19,167,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685782,378,24,19,133,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685785,377,24,20,170,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685788,377,24,20,243,0,5056,0,3.45,TRUE,,,,,,,,,
1,0,946685791,377,24,20,235,0,5056,0,3.42,TRUE,,,,,,,,,
1,0,946685794,376,24,20,226,0,5056,0,3.28,TRUE,,,,,,,,,
1,0,946685797,377,24,20,237,0,5056,0,3.35,TRUE,,,,,,,,,
1,0,946685800,376,24,20,157,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685803,377,24,20,181,0,5056,0,3.21,TRUE,,,,,,,,,
1,0,946685806,377,24,20,144,0,5056,0,3.38,TRUE,,,,,,,,,
1,0,946685809,377,24,20,154,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685812,376,24,20,232,0,5056,0,3.36,TRUE,,,,,,,,,
1,0,946685815,375,24,20,231,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685818,375,24,20,197,0,5056,0,3.34,TRUE,,,,,,,,,
1,0,946685821,375,24,20,132,0,5056,0,3.18,TRUE,,,,,,,,,
1,0,946685824,375,24,20,145,0,5056,0,3.15,TRUE,,,,,,,,,
1,0,946685827,374,24,20,160,0,5056,0,3.25,TRUE,,,,,,,,,
1,0,946685830,374,24,20,165,0,5056,0,3.26,TRUE,,,,,,,,,
1,0,946685833,374,24,20,168,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685836,374,24,20,198,0,5056,0,3.46,TRUE,,,,,,,,,
1,0,946685839,373,24,20,173,0,5056,0,3.35,TRUE,,,,,,,,,
1,0,946685842,373,24,20,148,0,5056,0,3.27,TRUE,,,,,,,,,
1,0,946685845,373,24,20,198,0,5056,0,3.32,TRUE,,,,,,,,,
1,0,946685848,373,24,20,201,0,5056,0,3.3,TRUE,,,,,,,,,
1,0,946685851,373,24,20,252,0,5056,0,3.51,TRUE,,,,,,,,,
1,0,946685854,372,24,20,228,0,5056,0,3.32,TRUE,,,,,,,,,
