Memory:       6032,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,1,946768593,682,23,37,358,0,3392,0,3.03,TRUE,,,,,,,,,
1,1,946768596,681,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768599,680,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768602,680,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768605,680,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768608,680,23,37,358,0,3392,0,3.16,TRUE,,,,,,,,,
1,1,946768611,681,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768614,680,23,37,358,0,3392,0,3.18,TRUE,,,,,,,,,
1,1,946768617,679,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768620,680,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768623,679,23,37,357,0,3392,0,3.07,TRUE,,,,,,,,,
1,1,946768626,679,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768629,680,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768632,679,23,37,358,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768635,681,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768638,681,23,37,357,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768641,681,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768644,681,23,37,357,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768647,682,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768650,682,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768653,683,23,37,358,0,3392,0,3.19,TRUE,,,,,,,,,
1,1,946768656,683,23,37,357,0,3392,0,3.21,TRUE,,,,,,,,,
1,1,946768659,683,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768662,683,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768665,685,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768668,685,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
1,1,946768671,687,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768674,688,23,37,358,0,3392,0,3.22,TRUE,,,,,,,,,
1,1,946768677,687,23,37,358,0,3392,0,3.04,TRUE,,,,,,,,,
1,1,946768680,687,23,37,358,0,3392,0,3.2,TRUE,,,,,,,,,
