Memory:       7104,,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,,
Hub Address:  b'\x00\x13\xa2\x00A\xad\xaa\x16',,,,,,,,,,,,,,,,,,,,,
Hub Connect:  1,,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,
1,1,946771051,534,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771054,726,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771057,718,23,38,358,0,4496,0,3.17,TRUE,,,,,,,,,,
1,1,946771060,140,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771063,299,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771066,505,23,38,359,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771069,711,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771072,763,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771075,0,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771078,466,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771081,754,23,38,359,0,4496,0,3.13,TRUE,,,,,,,,,,
1,1,946771084,799,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771087,788,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771090,125,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771093,290,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771096,522,23,38,358,0,4496,0,3.13,TRUE,,,,,,,,,,
1,1,946771099,740,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771102,740,23,38,359,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771105,758,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771108,801,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771111,809,23,38,359,0,4496,0,3.13,TRUE,,,,,,,,,,
1,1,946771114,801,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771117,803,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,
--------------------------------SCD Zeros Occurred--------------------------------,,,,,,,,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,
1,1,946771120,0,0,0,358,0,6208,0,3.23,,,,,,,,,,,
1,1,946771123,531,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771126,558,23,38,358,0,4496,0,3.17,TRUE,,,,,,,,,,
1,1,946771129,620,23,38,359,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771132,698,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771135,717,23,38,358,0,4496,0,3.25,TRUE,,,,,,,,,,
1,1,946771138,0,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771141,451,23,38,358,0,4496,0,3.16,TRUE,,,,,,,,,,
1,1,946771144,767,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
1,1,946771147,728,23,38,358,0,4496,0,3.22,TRUE,,,,,,,,,,
1,1,946771150,727,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771153,83,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771156,264,23,38,358,0,4496,0,3.17,TRUE,,,,,,,,,,
1,1,946771159,707,23,38,358,0,4496,0,3.24,TRUE,,,,,,,,,,
1,1,946771162,755,23,38,358,0,4496,0,3.23,TRUE,,,,,,,,,,
