Memory:       7056,,,,,,,,,,,,,,,,,,,,
RF identifier 2,,,,,,,,,,,,,,,,,,,,
Firmware ver: 0x300d,,,,,,,,,,,,,,,,,,,,
Hardware ver: 0x4150,,,,,,,,,,,,,,,,,,,,
Hub Address:  None,,,,,,,,,,,,,,,,,,,,
Hub Connect:  0,,,,,,,,,,,,,,,,,,,,
Transmit On:  1,,,,,,,,,,,,,,,,,,,,
SCD Interval: 2,,,,,,,,,,,,,,,,,,,,
SCD Altitude: 1300,,,,,,,,,,,,,,,,,,,,
SCD Factor:   400,,,,,,,,,,,,,,,,,,,,
SCD Auto?     False,,,,,,,,,,,,,,,,,,,,
------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,
1,0,1644821598,799,24,32,138,0,4128,0,3.14,TRUE,,,,,,,,,
1,0,1644821601,799,24,32,151,0,4128,0,3.13,TRUE,,,,,,,,,
1,0,1644821604,799,24,32,160,0,4128,0,2.92,TRUE,,,,,,,,,
1,0,1644821607,799,24,32,231,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644821610,800,24,32,210,0,4128,0,3.36,TRUE,,,,,,,,,
1,0,1644821613,801,24,32,210,0,4128,0,3.29,TRUE,,,,,,,,,
1,0,1644821616,802,24,32,219,0,4128,0,3.33,TRUE,,,,,,,,,
1,0,1644821619,802,24,32,186,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821622,802,24,32,203,0,4128,0,3.23,TRUE,,,,,,,,,
1,0,1644821625,802,24,32,218,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644821628,803,24,32,218,0,4128,0,3.33,TRUE,,,,,,,,,
1,0,1644821631,804,24,32,151,0,4128,0,3.1,TRUE,,,,,,,,,
1,0,1644821634,803,24,32,150,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821637,803,24,32,160,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821640,802,24,32,181,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821643,802,24,32,147,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821646,802,24,32,162,0,4128,0,3.22,TRUE,,,,,,,,,
1,0,1644821649,800,24,32,154,0,4128,0,3.07,TRUE,,,,,,,,,
1,0,1644821652,801,24,32,154,0,4128,0,3.09,TRUE,,,,,,,,,
1,0,1644821655,800,24,32,156,0,4128,0,3.15,TRUE,,,,,,,,,
1,0,1644821658,800,24,32,163,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821661,800,24,32,170,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821664,801,24,32,151,0,4128,0,3.14,TRUE,,,,,,,,,
1,0,1644821667,801,24,32,168,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821670,801,24,32,161,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821673,800,24,32,132,0,4128,0,3.03,TRUE,,,,,,,,,
1,0,1644821676,800,24,32,101,0,4128,0,3.2,TRUE,,,,,,,,,
1,0,1644821679,799,24,32,136,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821682,798,24,32,214,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821685,797,24,32,192,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821688,798,24,32,223,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821691,798,24,32,203,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821694,800,24,32,198,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821697,801,24,32,213,0,4128,0,3.19,TRUE,,,,,,,,,
1,0,1644821700,802,24,32,221,0,4128,0,3.33,TRUE,,,,,,,,,
1,0,1644821703,802,24,32,231,0,4128,0,3.32,TRUE,,,,,,,,,
1,0,1644821706,801,24,32,222,0,4128,0,3.31,TRUE,,,,,,,,,
1,0,1644821709,802,24,32,229,0,4128,0,3.33,TRUE,,,,,,,,,
1,0,1644821712,801,24,32,229,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821715,803,24,32,214,0,4128,0,3.29,TRUE,,,,,,,,,
1,0,1644821718,802,24,32,203,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821721,803,24,32,219,0,4128,0,3.38,TRUE,,,,,,,,,
1,0,1644821724,801,24,32,211,0,4128,0,3.31,TRUE,,,,,,,,,
1,0,1644821727,801,24,32,236,0,4128,0,3.4,TRUE,,,,,,,,,
1,0,1644821730,800,24,32,226,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821733,798,24,32,230,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821736,798,24,32,207,0,4128,0,3.23,TRUE,,,,,,,,,
1,0,1644821739,798,24,32,163,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821742,796,24,32,170,0,4128,0,3.2,TRUE,,,,,,,,,
1,0,1644821745,798,24,32,154,0,4128,0,3.15,TRUE,,,,,,,,,
1,0,1644821748,798,24,32,155,0,4128,0,3.2,TRUE,,,,,,,,,
1,0,1644821751,798,24,32,129,0,4128,0,3.24,TRUE,,,,,,,,,
1,0,1644821754,796,24,32,152,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644821757,797,24,32,173,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821760,797,24,32,189,0,4128,0,3.26,TRUE,,,,,,,,,
1,0,1644821763,797,24,32,227,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821766,796,24,32,169,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821769,795,24,32,196,0,4128,0,3.28,TRUE,,,,,,,,,
1,0,1644821772,795,24,32,201,0,4128,0,3.23,TRUE,,,,,,,,,
1,0,1644821775,793,24,32,216,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821778,794,24,32,169,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821781,794,24,32,198,0,4128,0,3.21,TRUE,,,,,,,,,
1,0,1644821784,791,24,32,172,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821787,791,24,32,178,0,4128,0,3.15,TRUE,,,,,,,,,
1,0,1644821790,791,24,32,175,0,4128,0,3.25,TRUE,,,,,,,,,
1,0,1644821793,792,24,32,182,0,4128,0,3.29,TRUE,,,,,,,,,
1,0,1644821796,791,24,32,175,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821799,790,24,32,171,0,4128,0,3.16,TRUE,,,,,,,,,
1,0,1644821802,790,24,32,238,0,4128,0,3.35,TRUE,,,,,,,,,
1,0,1644821805,790,24,32,233,0,4128,0,3.4,TRUE,,,,,,,,,
1,0,1644821808,791,24,32,243,0,4128,0,3.32,TRUE,,,,,,,,,
1,0,1644821811,791,24,32,231,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821814,791,24,32,230,0,4128,0,3.36,TRUE,,,,,,,,,
1,0,1644821817,791,24,32,232,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644821820,791,24,32,219,0,4128,0,3.27,TRUE,,,,,,,,,
1,0,1644821823,789,24,32,233,0,4128,0,3.34,TRUE,,,,,,,,,
1,0,1644821826,789,24,32,245,0,4128,0,3.38,TRUE,,,,,,,,,
1,0,1644821829,788,24,32,235,0,4128,0,3.36,TRUE,,,,,,,,,
1,0,1644821832,788,24,32,228,0,4128,0,3.33,TRUE,,,,,,,,,
1,0,1644821835,789,24,32,227,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821838,788,24,32,211,0,4128,0,3.3,TRUE,,,,,,,,,
1,0,1644821841,789,24,32,165,0,4128,0,3.31,TRUE,,,,,,,,,
1,0,1644821844,788,24,32,158,0,4128,0,3.16,TRUE,,,,,,,,,
1,0,1644821847,786,24,32,157,0,4128,0,3.09,TRUE,,,,,,,,,
